City_ID,City,Lat,Lng,Date,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
222,Bodden Town,19.2833,-81.25,2021-11-26 22:42:56,80.6,few clouds,69,20,9.22,KY
223,Faya,18.3851,42.4509,2021-11-26 22:42:56,57.72,clear sky,78,0,0.69,SA
224,Sovetskiy,61.3614,63.5842,2021-11-26 22:42:56,24.15,snow,96,100,9.66,RU
225,Goderich,43.7501,-81.7165,2021-11-26 22:42:56,30.52,overcast clouds,69,100,19.57,CA
226,Sheksna,59.21,38.5107,2021-11-26 22:42:57,33.26,overcast clouds,97,100,10.56,RU
227,Nago,26.5881,127.9761,2021-11-26 22:35:12,68.16,overcast clouds,58,100,17.98,JP
228,Mecca,21.4267,39.8261,2021-11-26 22:42:57,76.12,clear sky,67,0,4.05,SA
229,Souillac,-20.5167,57.5167,2021-11-26 22:42:57,73.78,scattered clouds,83,40,5.75,MU
230,Pendleton,45.6721,-118.7886,2021-11-26 22:42:58,60.4,clear sky,51,1,6.91,US
231,Balkanabat,39.5108,54.3671,2021-11-26 22:42:58,48.51,overcast clouds,43,96,4.32,TM
232,Lata,40.1629,-8.3327,2021-11-26 22:42:58,50.41,few clouds,84,24,0.54,PT
233,Tateyama,34.9833,139.8667,2021-11-26 22:42:59,50.02,broken clouds,54,76,15.48,JP
234,Ingham,42.6,-84.3833,2021-11-26 22:43:59,29.97,overcast clouds,64,90,6.91,US
235,Vila,42.0304,-8.1588,2021-11-26 22:43:59,40.08,overcast clouds,92,97,4.97,PT
236,Pran Buri,12.3847,99.9098,2021-11-26 22:44:00,73.27,light rain,84,87,9.1,TH
237,Anyang,36.0994,114.3289,2021-11-26 22:44:00,41.18,scattered clouds,63,34,2.17,CN
238,Broome,42.2506,-75.833,2021-11-26 22:44:00,29.17,overcast clouds,80,90,13.8,US
239,Bambous Virieux,-20.3428,57.7575,2021-11-26 22:44:00,73.65,scattered clouds,83,40,5.75,MU
240,Vila Franca Do Campo,37.7167,-25.4333,2021-11-26 22:44:01,61.21,broken clouds,69,70,11.41,PT
241,Mrakovo,52.7161,56.6244,2021-11-26 22:44:01,23.38,overcast clouds,95,100,8.75,RU
242,Orebro,59.2741,15.2066,2021-11-26 22:43:41,19.58,scattered clouds,93,33,6.91,SE
243,Roanoke Rapids,36.4615,-77.6542,2021-11-26 22:44:01,46.09,clear sky,56,1,5.75,US
244,Daru,-9.0763,143.2092,2021-11-26 22:44:02,83.08,broken clouds,76,65,3.31,PG
245,Kieta,-6.2167,155.6333,2021-11-26 22:34:05,85.1,broken clouds,67,72,4.38,PG
246,San Mateo Ixtatan,15.8319,-91.4781,2021-11-26 22:44:02,58.55,broken clouds,91,83,4.94,GT
247,Lazaro Cardenas,17.9583,-102.2,2021-11-26 22:44:02,81.77,broken clouds,73,61,5.1,MX
248,San Quintin,30.4833,-115.95,2021-11-26 22:44:03,71.85,clear sky,30,0,3.98,MX
249,Pisco,-13.7,-76.2167,2021-11-26 22:44:03,68.05,clear sky,77,0,10.36,PE
250,Dawson Creek,55.7666,-120.2362,2021-11-26 22:44:03,33.44,clear sky,37,1,32.21,CA
251,Korla,41.7597,86.1469,2021-11-26 22:44:04,30.79,overcast clouds,54,100,4.25,CN
252,Sambava,-14.2667,50.1667,2021-11-26 22:44:04,74.88,light rain,88,71,4.99,MG
253,Tsumeb,-19.2333,17.7167,2021-11-26 22:44:04,78.35,clear sky,46,1,4.72,NA
254,Cayenne,4.9333,-52.3333,2021-11-26 22:44:04,80.64,scattered clouds,83,40,5.75,GF
255,Maragogi,-9.0122,-35.2225,2021-11-26 22:40:43,79.39,broken clouds,81,52,11.16,BR
256,Okha,53.5739,142.9478,2021-11-26 22:44:05,25.74,overcast clouds,80,92,9.89,RU
