City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Yamethin,MM,80.51,broken clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
614,Corn Island,NI,81.39,overcast clouds,12.1694,-83.0418,Big Fish Guest House
617,Ormara,PK,80.56,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
619,Vieques,PR,76.1,clear sky,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
622,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
628,Thanjavur,IN,81.16,overcast clouds,10.8,79.15,Tanjore Hi Hotel
631,Yei,SS,77.2,scattered clouds,4.095,30.6779,City Link Hotel
633,Tanete,ID,87.33,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
634,Ugoofaaru,MV,81.79,overcast clouds,5.6667,73.0,Ungoofaaru Inn
637,Bosaso,SO,82.38,few clouds,11.2842,49.1816,Red Sea Hotel
642,Banjar,ID,85.86,overcast clouds,-8.19,114.9675,The Hamsa Resort
651,Antsohihy,MG,85.75,broken clouds,-14.8796,47.9875,Hotel de Ville
653,Puerto Carreno,CO,76.5,broken clouds,6.189,-67.4859,Casa Hotel Victoria
660,Mahanoro,MG,78.06,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
666,Hobyo,SO,82.56,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
670,Carutapera,BR,78.58,broken clouds,-1.195,-46.02,Lidera
679,Puerto Narino,CO,76.95,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
680,Kavaratti,IN,82.31,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
686,Bac Giang,VN,77.07,few clouds,21.2667,106.2,An Binh Hotel 2
688,Meulaboh,ID,84.16,broken clouds,4.1363,96.1285,Kost Pria
691,Cabinda,AO,78.1,moderate rain,-5.55,12.2,Hotel Maiombe
693,Bonthe,SL,77.68,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
694,Jibuti,DJ,78.35,clear sky,11.5,42.5,Orchid Main Camp Goubet
696,Salalah,OM,87.13,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
700,Bitung,ID,81.45,light rain,1.4451,125.1824,K2 Lembeh
703,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
717,Pekan,MY,84.94,moderate rain,3.4836,103.3996,Pekan Budget Hotel
721,Parambu,BR,76.23,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
722,Roatan,HN,77.36,overcast clouds,16.3244,-86.5366,Hotel Henry Morgan
727,Sur,OM,81.05,broken clouds,22.5667,59.5289,Sur Plaza Hotel
728,Korampallam,IN,82.69,haze,8.7667,78.1,Regency Tuticorin by GRT Hotels
