City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Varadero,CU,23.1536,-81.2514,70.56,74,87,7.58,overcast clouds
70,Asyut,EG,27.181,31.1837,53.78,34,0,3.96,clear sky
71,Nizhniy Kuranakh,RU,58.8353,125.4869,14.76,78,100,12.82,overcast clouds
72,Vila,PT,42.0304,-8.1588,40.08,91,97,6.58,overcast clouds
73,Qaanaaq,GL,77.484,-69.3632,4.68,96,100,10.22,light snow
74,Arraial Do Cabo,BR,-22.9661,-42.0278,73.06,89,100,24.4,overcast clouds
75,Lasem,ID,-6.6922,111.4527,82.87,77,95,3.85,moderate rain
76,Kenora,CA,49.8167,-94.4337,26.58,63,75,6.91,broken clouds
77,Sivas,TR,39.7916,37.0019,39.83,93,75,9.22,broken clouds
78,Cherskiy,RU,68.75,161.3,-33.61,96,17,4.25,few clouds
79,Misratah,LY,32.3754,15.0925,64.45,54,96,22.28,overcast clouds
80,Kapaa,US,22.0752,-159.319,76.98,73,40,9.22,scattered clouds
81,Monrovia,LR,6.3005,-10.7969,76.77,83,39,4.0,light rain
82,Yellowknife,CA,62.456,-114.3525,5.52,85,90,17.27,light snow
83,Zabaykalsk,RU,49.6333,117.3167,20.64,79,75,1.52,broken clouds
84,Kruisfontein,ZA,-34.0033,24.7314,67.98,66,100,9.71,light rain
85,Cabo San Lucas,MX,22.8909,-109.9124,70.99,84,100,6.38,overcast clouds
86,Harper,LR,4.375,-7.7169,77.77,86,61,6.42,light rain
87,Muhos,FI,64.808,25.9931,4.78,98,80,2.84,broken clouds
88,Muros,ES,42.7762,-9.0603,48.7,73,76,21.79,broken clouds
89,Aguimes,ES,27.9054,-15.4461,59.63,67,40,11.5,scattered clouds
90,Sambhar,IN,26.9167,75.2,75.36,28,0,3.78,clear sky
91,Sovetskaya Gavan,RU,48.9723,140.2878,32.76,60,28,8.34,scattered clouds
92,Thompson,CA,55.7435,-97.8558,17.76,93,90,3.44,light snow
93,Marsh Harbour,BS,26.5412,-77.0636,73.17,67,83,10.78,broken clouds
94,Tucurui,BR,-3.7661,-49.6725,75.7,91,86,3.67,overcast clouds
95,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,5.75,overcast clouds
96,Bambous Virieux,MU,-20.3428,57.7575,82.65,57,20,11.5,few clouds
97,Osoyoos,CA,49.0331,-119.4524,39.96,87,89,1.14,overcast clouds
98,Bambanglipuro,ID,-7.95,110.2833,83.89,71,81,10.83,light rain
99,Stromness,GB,58.965,-3.296,37.36,60,100,36.66,overcast clouds
100,Saint-Francois,FR,46.4154,3.9054,36.84,93,90,5.75,overcast clouds
101,Castro,BR,-24.7911,-50.0119,56.59,98,23,4.83,few clouds
102,Pisco,PE,-13.7,-76.2167,64.45,88,0,6.91,clear sky
103,Hobart,AU,-42.8794,147.3294,66.06,42,20,11.5,few clouds
104,Namibe,AO,-15.1961,12.1522,69.31,63,67,7.56,broken clouds
105,Dergachi,RU,51.2328,48.7659,27.55,84,11,9.19,few clouds
106,Balkhash,KZ,46.844,74.9804,20.01,73,0,6.71,clear sky
107,Hithadhoo,MV,-0.6,73.0833,81.36,71,80,13.82,broken clouds
108,Rocha,UY,-34.4833,-54.3333,61.02,98,34,4.61,scattered clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,55.85,95,24,9.71,few clouds
110,Pandua,IN,23.0833,88.2833,78.67,32,1,7.45,clear sky
111,Formosa,AR,-26.1775,-58.1781,67.98,88,0,2.3,clear sky
112,Kalmunai,LK,7.4167,81.8167,84.07,72,61,3.56,broken clouds
113,Mount Gambier,AU,-37.8333,140.7667,69.71,46,75,14.97,broken clouds
114,Khatanga,RU,71.9667,102.5,-0.26,93,100,15.01,overcast clouds
115,Victoria,HK,22.2855,114.1577,76.96,47,90,8.21,overcast clouds
116,Quesnel,CA,52.9999,-122.5029,23.5,86,1,2.3,clear sky
117,Ribeira Grande,PT,38.5167,-28.7,63.55,65,30,12.59,scattered clouds
118,Vila Velha,BR,-20.3297,-40.2925,75.15,78,40,10.36,scattered clouds
119,Gao,ML,16.6362,1.637,73.96,24,85,10.38,overcast clouds
120,Luderitz,NA,-26.6481,15.1594,62.42,69,0,4.52,clear sky
121,Naze,JP,28.3667,129.4833,67.12,55,85,15.77,overcast clouds
122,Mareeba,AU,-17.0,145.4333,81.32,64,75,4.27,broken clouds
123,Nakamura,JP,32.9833,132.9333,54.7,51,10,8.14,clear sky
124,Georgetown,MY,5.4112,100.3354,87.75,70,40,4.61,scattered clouds
125,Rey Bouba,CM,8.6724,14.1786,73.42,30,5,2.33,clear sky
126,Gamba,GA,-2.65,10.0,77.5,86,99,4.76,light rain
127,Normandin,CA,48.8333,-72.5321,28.02,74,100,16.11,overcast clouds
128,Haines Junction,CA,60.7522,-137.5108,-7.65,77,99,5.75,light snow
129,Labuhan,ID,-6.8844,112.2051,84.92,71,98,5.32,moderate rain
130,Hasaki,JP,35.7333,140.8333,54.0,29,40,17.36,scattered clouds
131,Fukue,JP,32.6881,128.8419,57.56,51,20,14.97,few clouds
132,Mayumba,GA,-3.432,10.6554,77.45,86,99,4.5,light rain
133,Nemuro,JP,43.3236,145.575,37.83,58,70,28.9,broken clouds
134,Khanpur,PK,28.6453,70.6567,82.62,12,0,2.48,clear sky
135,Atuona,PF,-9.8,-139.0333,78.3,79,15,18.84,light rain
136,General Roca,AR,-39.0333,-67.5833,69.75,34,44,7.78,scattered clouds
137,Boyolangu,ID,-8.1181,111.8935,85.24,69,63,9.46,light rain
138,Airai,TL,-8.9266,125.4092,71.92,72,100,1.57,overcast clouds
139,Motygino,RU,58.1831,94.7592,8.55,93,100,8.39,overcast clouds
140,Lebu,CL,-37.6167,-73.65,50.56,85,25,11.74,scattered clouds
141,Saint-Philippe,RE,-21.3585,55.7679,83.79,81,47,11.01,light rain
142,Lata,PT,40.1629,-8.3327,41.41,95,99,4.7,overcast clouds
143,Itarema,BR,-2.9248,-39.9167,80.35,77,32,13.04,scattered clouds
144,Bathsheba,BB,13.2167,-59.5167,77.61,94,20,4.61,few clouds
145,Bilma,NE,18.6853,12.9164,71.46,21,15,7.54,few clouds
146,Majene,ID,-3.5403,118.9707,86.52,69,99,12.82,overcast clouds
147,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,0,20.71,light rain
148,Samfya,ZM,-11.3649,29.5565,68.23,82,99,11.74,overcast clouds
149,Salamiyah,SY,35.0113,37.0532,59.04,57,19,5.14,few clouds
150,Vilyuysk,RU,63.7553,121.6247,1.83,90,100,11.1,overcast clouds
151,Buchanan,LR,5.8808,-10.0467,76.96,85,34,4.09,light rain
152,Lompoc,US,34.6391,-120.4579,48.51,93,1,0.0,clear sky
153,Chirgaon,IN,25.5833,78.8167,78.31,28,0,6.67,clear sky
154,Dauphin,CA,51.1494,-100.0502,32.14,80,1,12.66,clear sky
